title,value,weight,food,ingredients,recipe,adult portion size(g),child portion size(g),total recipe weight(g)
Spaghetti,"[12, 2, 3, 0.25, 28, 1, 0.5, 0, 0.25, 0]","[""oz"", ""tablespoon"", ""0"", ""teaspoon"", ""oz"", ""teaspoon"", ""teaspoon"", ""0"", ""cup"", ""0""]","[""dry spaghetti"", ""olive oil"", ""garlic"", ""red pepper flakes"", ""crushed tomatoes"", ""dried oregano"", ""sugar"", ""Salt and freshly ground black pepper"", ""fresh basil leaves"", ""Grated Parmesan cheese""]","[""12 oz. dry spaghetti"", ""2 Tbsp. olive oil"", ""3 cloves garlic, minced"", ""1/4 tsp. red pepper flakes"", ""1 (28 oz.) can crushed tomatoes"", ""1 tsp. dried oregano"", ""1/2 tsp. sugar"", ""Salt and freshly ground black pepper, to taste"", ""1/4 cup fresh basil leaves, chopped"", ""Grated Parmesan cheese, for serving""]","[""1. Cook spaghetti according to package instructions until al dente. Drain and set aside."", ""2. In a large skillet, heat olive oil over medium heat."", ""3. Add minced garlic and red pepper flakes; sauté until fragrant, about 1 minute."", ""4. Pour in crushed tomatoes; stir in dried oregano and sugar."", ""5. Season with salt and black pepper to taste."", ""6. Simmer sauce over low heat for 15-20 minutes, stirring occasionally."", ""7. Add cooked spaghetti to the sauce; toss to combine."", ""8. Stir in chopped fresh basil."", ""9. Serve hot, topped with grated Parmesan cheese.""]",250,150,900
Beef Tacos,"[1, 1, 2, 1, 0.75, 8, 1, 1, 1, 0.5, 0.5]","[""lb"", ""0"", ""0"", ""oz"", ""cup"", ""0"", ""cup"", ""cup"", ""cup"", ""cup"", ""cup""]","[""ground beef"", ""small onion finely chopped"", ""cloves garlic, minced"", ""taco seasoning mix"", ""water"", ""small taco shells"", ""shredded lettuce"", ""diced tomatoes"", ""shredded cheddar cheese"", ""sour cream"", ""salsa""]","[""1 lb. ground beef"", ""1 small onion, finely chopped"", ""2 cloves garlic, minced"", ""1 packet (1 oz.) taco seasoning mix"", ""3/4 cup water"", ""8 small taco shells or tortillas"", ""1 cup shredded lettuce"", ""1 cup diced tomatoes"", ""1 cup shredded cheddar cheese"", ""1/2 cup sour cream"", ""1/2 cup salsa""]","[""1. In a large skillet over medium heat, cook ground beef until browned, about 5-7 minutes. Drain excess fat."", ""2. Add chopped onion and minced garlic to the skillet; cook until softened, approximately 2-3 minutes."", ""3. Stir in taco seasoning mix and water; bring to a boil."", ""4. Reduce heat and simmer uncovered for 5 minutes, stirring occasionally."", ""5. Warm taco shells or tortillas according to package instructions."", ""6. Spoon beef mixture into each shell."", ""7. Top with shredded lettuce, diced tomatoes, shredded cheddar cheese, sour cream, and salsa as desired."", ""8. Serve immediately.""]",200,100,800
Pancakes,"[1.5, 3.5, 1, 0.25, 1.25, 1, 3]","[""cup"", ""teaspoon"", ""tablespoon"", ""teaspoon"", ""cup"", ""0"", ""tablespoon""]","[""all-purpose flour"", ""baking powder"", ""white sugar"", ""salt"", ""milk"", ""0"", ""butter, melted""]","[""1 1/2 cups all-purpose flour"", ""3 1/2 tsp baking powder"", ""1 Tbsp white sugar"", ""1/4 tsp salt"", ""1 1/4 cups milk"", ""1 egg"", ""3 Tbsp butter, melted""]","[""1. In a large bowl, sift together the flour, baking powder, sugar, and salt."", ""2. Make a well in the center and pour in the milk, egg, and melted butter; mix until smooth."", ""3. Heat a lightly oiled griddle or frying pan over medium-high heat."", ""4. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake."", ""5. Cook until bubbles form on the surface and the edges are dry, about 2-3 minutes."", ""6. Flip and cook until browned on the other side."", ""7. Repeat with remaining batter."", ""8. Serve hot with your favorite toppings.""]",180,90,720
Grilled Cheese Sandwich,"[2, 2, 2]","[""slice"", ""slice"", ""tablespoon""]","[""white or sourdough bread"", ""cheddar cheese"", ""unsalted butter, softened""]","[""2 slices of white or sourdough bread"", ""2 slices of cheddar cheese (about 2 oz.)"", ""2 tablespoons unsalted butter, softened""]","[""1. Preheat a skillet over medium-low heat."", ""2. Spread 1 tablespoon of softened butter on one side of each bread slice."", ""3. Place one slice of bread, buttered side down, onto the skillet."", ""4. Layer the cheddar cheese slices on top of the bread in the skillet."", ""5. Top with the second slice of bread, buttered side up."", ""6. Grill until the bread is golden brown and the cheese is melted, about 3-4 minutes per side."", ""7. Remove from skillet, slice diagonally, and serve hot.""]",160,85,160
Meatloaf,"[1.5, 1, 0.5, 2, 0.5, 1, 2, 1, 1, 1, 0.5, 0.5, 0.25, 0.25]","[""lb"", ""cup"", ""cup"", ""0"", ""cup"", ""0"", ""tablespoon"", ""tablespoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon""]","[""ground beef"", ""bread crumbs"", ""finely chopped onion"", ""garlic"", ""milk"", ""large egg"", ""ketchup"", ""Worcestershire sauce"", ""dried parsley"", ""salt"", ""black pepper"", ""garlic powder"", ""onion powder"", ""paprika""]","[""1 1/2 lbs. ground beef"", ""1 cup bread crumbs"", ""1/2 cup finely chopped onion"", ""2 cloves garlic, minced"", ""1/2 cup milk"", ""1 large egg"", ""2 Tbsp. ketchup"", ""1 Tbsp. Worcestershire sauce"", ""1 tsp. dried parsley"", ""1 tsp. salt"", ""1/2 tsp. black pepper"", ""1/2 tsp. garlic powder"", ""1/4 tsp. onion powder"", ""1/4 tsp. paprika""]","[""1. Preheat oven to 350°F (175°C)."", ""2. In a large bowl, combine ground beef, bread crumbs, chopped onion, minced garlic, milk, egg, ketchup, Worcestershire sauce, dried parsley, salt, black pepper, garlic powder, onion powder, and paprika."", ""3. Mix until all ingredients are well incorporated."", ""4. Transfer the mixture to a loaf pan, pressing it down evenly."", ""5. Bake in the preheated oven for 55-60 minutes, or until the internal temperature reaches 160°F (70°C)."", ""6. Let the meatloaf rest for 10 minutes before slicing and serving.""]",200,100,1200
Roast Chicken,"[1, 2, 1, 0.5, 1, 4, 1, 1, 1, 1, 2, 2]","[""whole"", ""tablespoon"", ""teaspoon"", ""teaspoon"", ""0"", ""0"", ""bunch"", ""bunch"", ""bunch"", ""0"", ""0"", ""0""]","[""chicken"", ""olive oil"", ""salt"", ""freshly ground black pepper"", ""lemon, halved"", ""garlic, crushed"", ""fresh thyme"", ""fresh rosemary"", ""fresh parsley"", ""onion, quartered"", ""carrots, cut into large chunks"", ""celery stalks, cut into large chunks""]","[""1 whole chicken (approximately 4 lbs.)"", ""2 tablespoons olive oil"", ""1 teaspoon salt"", ""1/2 teaspoon freshly ground black pepper"", ""1 lemon, halved"", ""4 cloves garlic, crushed"", ""1 small bunch fresh thyme"", ""1 small bunch fresh rosemary"", ""1 small bunch fresh parsley"", ""1 onion, quartered"", ""2 carrots, cut into large chunks"", ""2 celery stalks, cut into large chunks""]","[""1. Preheat the oven to 425°F (220°C)."", ""2. Remove the giblets from the chicken cavity and pat the chicken dry with paper towels."", ""3. Rub the olive oil over the entire chicken, then season the outside and inside cavity with salt and freshly ground black pepper."", ""4. Stuff the cavity with the halved lemon, crushed garlic cloves, and the bunches of fresh thyme, rosemary, and parsley."", ""5. Place the quartered onion, carrots, and celery in the bottom of a roasting pan to create a bed for the chicken."", ""6. Position the chicken on top of the vegetables in the roasting pan, breast side up."", ""7. Roast the chicken in the preheated oven for approximately 1 hour and 15 minutes, or until the internal temperature reaches 165°F (74°C) when measured in the thickest part of the thigh."", ""8. Once cooked, remove the chicken from the oven and let it rest for 10-15 minutes before carving."", ""9. Serve the carved chicken with the roasted vegetables from the pan.""]",225,115,900
Macaroni and Cheese,"[2, 4, 4, 2, 2, 0]","[""cup"", ""tablespoon"", ""tablespoon"", ""cup"", ""cup"", ""to taste""]","[""elbow macaroni"", ""butter"", ""all-purpose flour"", ""milk"", ""shredded cheddar cheese"", ""Salt and pepper""]","[""2 cups elbow macaroni (about 8 oz.)"", ""4 tablespoons butter"", ""4 tablespoons all-purpose flour"", ""2 cups milk"", ""2 cups shredded cheddar cheese"", ""Salt and pepper to taste""]","[""1. Cook macaroni according to package instructions until al dente. Drain and set aside."", ""2. In a medium saucepan over medium heat, melt butter."", ""3. Whisk in flour and cook, stirring constantly, for about 2 minutes."", ""4. Slowly add milk, whisking continuously until the mixture is smooth and thickened, about 5 minutes."", ""5. Stir in shredded cheddar cheese until melted and smooth."", ""6. Add salt and pepper to taste."", ""7. Combine cooked macaroni with the cheese sauce, stirring until well coated."", ""8. Serve hot.""]",250,125,1000
Pizza,"[1, 0.5, 1.5, 1, 0.5, 0.25, 0]","[""ball"", ""cup"", ""cup"", ""tablespoon"", ""teaspoon"", ""teaspoon"", ""0""]","[""pizza dough"", ""pizza sauce"", ""shredded mozzarella cheese (170g)"", ""olive oil"", ""dried oregano"", ""garlic powder"", ""Fresh basil leaves for garnish (optional)""]","[""1 ball pizza dough (approximately 450g)"", ""1/2 cup pizza sauce (120g)"", ""1 1/2 cups shredded mozzarella cheese (170g)"", ""1 tablespoon olive oil (15ml)"", ""1/2 teaspoon dried oregano (1g)"", ""1/4 teaspoon garlic powder (0.5g)"", ""Fresh basil leaves for garnish (optional)""]","[""1. Preheat your oven to 475°F (245°C). If using a pizza stone, place it in the oven to heat."", ""2. On a lightly floured surface, stretch or roll out the pizza dough to a 12-inch (30cm) circle."", ""3. Transfer the dough to a parchment-lined baking sheet or a pizza peel if using a pizza stone."", ""4. Spread the pizza sauce evenly over the dough, leaving a small border around the edges."", ""5. Sprinkle the shredded mozzarella cheese evenly over the sauce."", ""6. Drizzle the olive oil over the top, then sprinkle with dried oregano and garlic powder."", ""7. Bake in the preheated oven for 10-12 minutes, or until the crust is golden and the cheese is bubbly and slightly browned."", ""8. Remove from the oven and let cool for a few minutes. Garnish with fresh basil leaves if desired, slice, and serve.""]",150,75,750
Chili,"[1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 0.5, 0.5, 0.25, 1, 1]","[""lb"", ""medium"", ""0"", ""bell"", ""can"", ""can"", ""can"", ""tablespoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""cup"", ""tablespoon""]","[""ground beef"", ""onion, diced"", ""garlic, minced"", ""bell pepper, diced"", ""kidney beans, drained and rinsed"", ""diced tomatoes"", ""tomato sauce"", ""chili powder"", ""ground cumin"", ""paprika"", ""dried oregano"", ""salt"", ""black pepper"", ""beef broth"", ""olive oil""]","[""1 lb. ground beef (450g)"", ""1 medium onion, diced (150g)"", ""2 cloves garlic, minced (6g)"", ""1 bell pepper, diced (120g)"", ""1 can (15 oz.) kidney beans, drained and rinsed (425g)"", ""1 can (15 oz.) diced tomatoes (425g)"", ""1 can (8 oz.) tomato sauce (227g)"", ""2 tablespoons chili powder (14g)"", ""1 teaspoon ground cumin (2g)"", ""1 teaspoon paprika (2g)"", ""1/2 teaspoon dried oregano (1g)"", ""1/2 teaspoon salt (3g)"", ""1/4 teaspoon black pepper (1g)"", ""1 cup beef broth (240ml)"", ""1 tablespoon olive oil (15ml)""]","[""1. In a large pot over medium heat, add olive oil."", ""2. Add diced onion and bell pepper; sauté until softened, about 5 minutes."", ""3. Add minced garlic; cook for an additional minute."", ""4. Add ground beef; cook until browned, breaking it apart with a spoon, about 7 minutes."", ""5. Drain excess fat if necessary."", ""6. Stir in chili powder, cumin, paprika, oregano, salt, and black pepper; cook for 1 minute to release flavors."", ""7. Add diced tomatoes, tomato sauce, kidney beans, and beef broth; stir to combine."", ""8. Bring to a boil, then reduce heat to low and simmer uncovered for 30 minutes, stirring occasionally."", ""9. Taste and adjust seasoning if needed."", ""10. Serve hot, garnished with your favorite toppings.""]",300,150,1800
Beef Stew,"[1, 30, 1, 2, 3, 2, 3, 2, 1, 240, 2, 1, 0, 2, 2]","[""kg"", ""ml"", ""large"", ""0"", ""large"", ""stalk"", ""medium"", ""tablespoon"", ""liter"", ""ml"", ""0"", ""teaspoon"", ""to taste"", ""tablespoon"", ""tablespoon""]","[""beef chuck, cut into 1-inch cubes"", ""vegetable oil"", ""onion, diced"", ""garlic, minced"", ""carrots, sliced"", ""celery stalks, chopped"", ""potatoes, peeled and cubed"", ""tomato paste"", ""beef broth"", ""red wine"", ""bay leaves"", ""dried thyme"", ""Salt and pepper"", ""all-purpose flour"", ""water""]","[""1 kg beef chuck, cut into 1-inch cubes"", ""30 ml vegetable oil"", ""1 large onion, diced (200g)"", ""2 cloves garlic, minced (6g)"", ""3 large carrots, sliced (300g)"", ""2 celery stalks, chopped (100g)"", ""3 medium potatoes, peeled and cubed (450g)"", ""2 tablespoons tomato paste (30g)"", ""1 liter beef broth"", ""240 ml red wine"", ""2 bay leaves"", ""1 teaspoon dried thyme (1g)"", ""Salt and pepper to taste"", ""2 tablespoons all-purpose flour (16g)"", ""2 tablespoons water (30 ml)""]","[""1. Heat vegetable oil in a large pot over medium-high heat."", ""2. Season beef cubes with salt and pepper."", ""3. Add beef to the pot in batches; brown on all sides, about 5 minutes per batch. Remove and set aside."", ""4. In the same pot, add diced onion; sauté until translucent, about 5 minutes."", ""5. Add minced garlic; cook for an additional minute."", ""6. Stir in tomato paste; cook for 2 minutes."", ""7. Pour in red wine; deglaze the pot by scraping up any browned bits."", ""8. Return beef to the pot; add beef broth, bay leaves, and dried thyme."", ""9. Bring to a boil; reduce heat to low, cover, and simmer for 1 hour."", ""10. Add carrots, celery, and potatoes; continue to simmer until vegetables are tender, about 30 minutes."", ""11. In a small bowl, mix flour and water to form a slurry."", ""12. Stir slurry into the stew; cook until thickened, about 5 minutes."", ""13. Remove bay leaves; adjust seasoning with salt and pepper."", ""14. Serve hot.""]",400,200,3200
